,topic,topic_id,bias_id,title,source,bias,desc.,desc_word_count,processed_desc,kmean_clusters
1623,Sexual Misconduct- Lean Left,112,1,A record number of Americans quit their jobs in September,CNN Business, Lean Left,A record 4.4 million Americans quit their jobs in September as the sheer volume of available jobs is empowering workers to have their pick....,24,record 4.4 million americans quit job september sheer volume available job empower worker pick ....,1
1624,Sexual Misconduct- Lean Right,112,4,Hundreds of Thousands to Go on Four-Day Nationwide Strike Over Vaccine Mandates: Organizer,The Epoch Times, Lean Right,"A nationwide strike against vaccine mandates will take place from Nov. 8 to Nov. 11, according to the main organizer for the walkout, Leigh...",24,nationwide strike vaccine mandate place nov. 8 nov. 11 accord main organizer walkout leigh ...,1
1625,Sexual Misconduct - moderate,112,3,Record Number of US Workers Quit Their Jobs in September,AllSides Headline Roundup,moderate,"Roughly 4.43 million U.S. workers quit their jobs in September, marking an all-time high, according to data from the Department of Labor.
	The number of quits...",26,roughly 4.43 million u.s. worker quit job september mark time high accord datum department labor number quit ...,1
1626,Sexual Misconduct- Left,112,2,"No, Workers Aren’t Striking Because of Vaccine Mandates",Jacobin, Left,There’s a meme traveling around conservative media that vaccine mandates are the cause of the ongoing strike wave. Although you certainly can find news stories...,25,’ meme travel conservative medium vaccine mandate cause ongoing strike wave certainly find news story ...,1
1627,Sexual Misconduct- Right,112,5,Democrats’ $1.75 trillion bill could massively increase fines against employers violating vaccine mandate,Fox News (Online News), Right,The Democrats’ $1.75 trillion social spending bill would massively increase fines imposed on employers for occupational hazards. President Biden...,19,democrats 1.75 trillion social spending bill massively increase fine impose employer occupational hazard president biden ...,0
1628,Sexual Misconduct - moderate,112,3,"October Jobs Report: Strong Rebound as U.S Economy Adds 531,000 Jobs",Wall Street Journal (News),moderate,"The U.S. labor market sprang back to life in October after a summer slowdown, with employers briskly adding jobs and nearly 200,000 women joining the labor...",26,"u.s. labor market spring life october summer slowdown employer briskly add job nearly 200,000 woman join labor ...",1
1629,Sexual Misconduct- Lean Left,112,1,"Big rebound in jobs: America adds 531,000 jobs to the economy in October",CNN Business, Lean Left,"America's jobs recovery gathered some steam last month as US employers added 531,000 positions in October.

The unemployment rate fell to 4.6%, the lowest...",24,"america job recovery gather steam month employer add 531,000 position october unemployment rate fall 4.6 low ...",1
1630,Sexual Misconduct- Lean Right,112,4,"October jobs report beats expectations with gain of 531,000",Washington Times, Lean Right,"The U.S. economy created more jobs than expected in October as unemployment fell to 4.6% and 531,000 new jobs were added to payrolls, the Labor Department...",26,"u.s. economy create job expect october unemployment fall 4.6 531,000 new job add payroll labor department ...",1
1631,Sexual Misconduct - moderate,112,3,"US Economy Adds 531,000 Jobs In October",AllSides Headline Roundup,moderate,"The Labor Department announced on Friday that 531,000 new jobs were added to payrolls in October, outpacing Dow Jones' prediction of 450,000 jobs. The...",24,"labor department announce friday 531,000 new job add payroll october outpace dow jones prediction 450,000 job ...",1
1632,Sexual Misconduct- Left,112,2,Some Amazon Delivery Companies Are Struggling to Hire. Amazon Is Threatening to Terminate Their Contracts.,Vice, Left,"In September, the owner of a small delivery company in Minnesota received an email from Amazon threatening to end its contract to deliver packages for the e-...",27,september owner small delivery company minnesota receive email amazon threaten end contract deliver package e- ...,1
1633,Sexual Misconduct- Lean Right,112,4,Labor Secretary Insists OSHA COVID-19 Vaccine Rule Is Not a Mandate,The Epoch Times, Lean Right,"Labor Secretary Marty Walsh, during a media blitz on Thursday, said that the new Biden administration rule that requires private employees to show proof of...",25,labor secretary marty walsh medium blitz thursday new biden administration rule require private employee proof ...,1
1634,Sexual Misconduct - moderate,112,3,Weekly jobless claims better than expected in another sign of healing for employment,CNBC,moderate,"The U.S. unemployment picture improved again last week, with initial filings for unemployment insurance falling to another pandemic-era low.

First-time...",20,u.s. unemployment picture improve week initial filing unemployment insurance fall pandemic era low time ...,1
1635,Sexual Misconduct- Lean Left,112,1,"During the ""Great Resignation,"" women are changing jobs like never before",CBS News (Online), Lean Left,"The ""Great Resignation"" is sparking upheaval in the job market as the COVID-19 pandemic drags on, and no group has been impacted more than women. New...",26,great resignation spark upheaval job market covid-19 pandemic drag group impact woman new ...,1
1636,Social Security- Lean Right,113,4,How Biden's infrastructure victory lap could disappoint Democrats,Washington Examiner, Lean Right,"President Joe Biden launched a publicity tour touting his newly passed $1.2 trillion bipartisan infrastructure bill, but political operatives in both...",21,president joe biden launch publicity tour tout newly pass 1.2 trillion bipartisan infrastructure bill political operative ...,0
1637,Social Security - moderate,113,3,Biden signs $1 trillion infrastructure bill,Reuters,moderate,"In need of a political boost, President Joe Biden will sign a $1 trillion infrastructure bill on Monday at a ceremony expected to draw Democrats and some...",27,need political boost president joe biden sign 1 trillion infrastructure bill monday ceremony expect draw democrats ...,0
1638,Social Security- Lean Left,113,1,Biden signs bipartisan infrastructure bill with Republicans on hand to celebrate win,ABC News (Online), Lean Left,"After months of negotiations, a massive bipartisan infrastructure bill that promises significant investments in every pocket of the country got...",20,month negotiation massive bipartisan infrastructure bill promise significant investment pocket country ...,1
1639,Social Security- Lean Right,113,4,Voters Are Done With COVID-19 and Pandemic-Powered Officials,Reason, Lean Right,"Politicians have been on a high over the last year-plus, wielding extraordinary power with the approval of voters fearful of viral infection. Democrats, in...",24,politician high year plus wield extraordinary power approval voter fearful viral infection democrats ...,1
1640,Social Security - moderate,113,3,Biden Signs $1.2T Infrastructure Bill Into Law,AllSides Headline Roundup,moderate,President Joe Biden signed his $1.2 trillion Infrastructure Investment and Jobs Act into law Monday afternoon during a ceremony on the White House South Lawn....,25,president joe biden sign 1.2 trillion infrastructure investment jobs act law monday afternoon ceremony white house south lawn ....,0
1641,Social Security- Left,113,2,America's Only LGBTQ Historic District Is Falling Apart,Vice, Left,"One of North America’s first openly lesbian poets launched her career by pissing off H.P. Lovecraft.

In 1918, at the age of 19, Elsa Gidlow started...",26,north america openly lesbian poet launch career piss h.p. lovecraft 1918 age 19 elsa gidlow start ...,1
1642,Social Security- Right,113,5,Here Are The Conservatives Suing Biden Over His ‘Unconstitutional’ Vaccine Coercion,The Federalist, Right,At least 19 states have already begun to legally pursue action against the Biden administration for forcing medical coercion on federal contractors...,22,19 state begin legally pursue action biden administration force medical coercion federal contractor ...,1
